home_type,state,borough,zip,lot_size,house_area,bedrooms,bathrooms,price
SINGLE_FAMILY,CT,Milford,6460,,1000.0,1,1.0,100
SINGLE_FAMILY,CT,Storrs Mansfield,6268,,,12,4.0,100
APARTMENT,CT,New Haven,6513,,80.0,1,1.0,150
APARTMENT,CT,Ansonia,6401,,,1,1.0,250
APARTMENT,CT,Simsbury,6070,,691.0,1,1.0,528
APARTMENT,CT,Simsbury,6070,,1112.0,2,1.0,634
APARTMENT,CT,Meriden,6450,,250.0,0,1.0,695
APARTMENT,CT,Torrington,6790,,350.0,1,1.0,750
APARTMENT,CT,Hartford,6105,,,1,1.0,775
APARTMENT,CT,Hartford,6106,,,1,1.0,750
APARTMENT,CT,New Haven,6513,,,1,1.0,772
APARTMENT,CT,New Haven,6513,,,1,1.0,786
APARTMENT,CT,Hartford,6105,,350.0,0,1.0,745
APARTMENT,CT,Hartford,6105,,250.0,0,1.0,745
APARTMENT,CT,Bristol,6010,,875.0,1,1.0,850
APARTMENT,CT,Hartford,6105,,300.0,0,1.0,825
APARTMENT,CT,Hartford,6105,,600.0,1,1.0,885
APARTMENT,CT,New Britain,6051,,700.0,1,1.0,800
APARTMENT,CT,Bristol,6010,,1000.0,1,1.0,875
APARTMENT,CT,New Britain,6051,,,0,1.0,895
APARTMENT,CT,Bristol,6010,,,1,1.0,897
APARTMENT,CT,East Haven,6512,,300.0,0,1.0,800
SINGLE_FAMILY,CT,Hartford,6106,,650.0,1,1.0,825
APARTMENT,CT,Torrington,6790,,700.0,1,1.0,875
APARTMENT,CT,Hartford,6105,,450.0,0,1.0,800
APARTMENT,CT,Hartford,6105,,450.0,0,1.0,845
APARTMENT,CT,Fairfield,6824,,,1,3.0,800
APARTMENT,CT,Willimantic,6226,,,0,1.0,850
APARTMENT,CT,Torrington,6790,,500.0,1,1.0,825
APARTMENT,CT,Hartford,6105,,600.0,0,1.0,890
APARTMENT,CT,Bristol,6010,,600.0,1,1.0,825
APARTMENT,CT,Torrington,6790,,450.0,1,1.0,975
APARTMENT,CT,Bridgeport,6605,,350.0,0,1.0,950
APARTMENT,CT,Windsor Locks,6096,,750.0,1,1.0,975
APARTMENT,CT,New Britain,6051,,300.0,0,1.0,925
APARTMENT,CT,New Haven,6511,,2200.0,6,3.0,975
APARTMENT,CT,New Britain,6051,,,0,1.0,950
APARTMENT,CT,Hartford,6106,,500.0,0,0.0,950
APARTMENT,CT,Bridgeport,6605,,575.0,1,1.0,997
APARTMENT,CT,Willimantic,6226,,,1,1.0,985
APARTMENT,CT,Manchester,6040,,,1,1.0,910
APARTMENT,CT,Enfield,6082,,,1,1.0,981
APARTMENT,CT,Middletown,6457,,,0,1.0,900
APARTMENT,CT,Meriden,6450,,,0,1.0,905
APARTMENT,CT,Waterbury,6705,,965.0,1,1.0,985
APARTMENT,CT,Willimantic,6226,,425.0,0,1.0,975
APARTMENT,CT,Waterbury,6704,,908.0,2,1.5,990
APARTMENT,CT,Bristol,6010,,891.0,1,1.0,925
APARTMENT,CT,Middletown,6457,,,2,1.0,925
APARTMENT,CT,Middletown,6457,,,0,1.0,900
APARTMENT,CT,West Haven,6516,,,1,1.0,900
APARTMENT,CT,East Hartford,6108,,,1,1.0,999
APARTMENT,CT,New Britain,6053,,650.0,1,1.0,955
APARTMENT,CT,Hartford,6106,,625.0,1,1.0,955
APARTMENT,CT,Stafford Springs,6076,,,3,1.0,950
APARTMENT,CT,Hartford,6105,,725.0,1,1.0,995
APARTMENT,CT,Hartford,6105,,900.0,1,1.0,995
APARTMENT,CT,Waterbury,6705,,,0,1.0,975
APARTMENT,CT,New London,6320,,600.0,1,1.0,975
APARTMENT,CT,Waterbury,6706,,700.0,1,1.0,950
APARTMENT,CT,East Hartford,6108,,400.0,0,1.0,950
APARTMENT,CT,Waterbury,6704,,800.0,1,1.0,975
APARTMENT,CT,New Britain,6051,,875.0,2,1.0,975
APARTMENT,CT,East Hartford,6108,,650.0,1,1.0,975
APARTMENT,CT,Hartford,6105,,675.0,1,1.0,900
APARTMENT,CT,Torrington,6790,,900.0,2,1.0,950
APARTMENT,CT,Torrington,6790,,,1,1.0,975
APARTMENT,CT,Wallingford,6492,,400.0,0,1.0,900
APARTMENT,CT,New Haven,6511,,600.0,1,1.0,950
APARTMENT,CT,Hartford,6106,,,1,1.0,990
MULTI_FAMILY,CT,East Haddam,6423,,500.0,1,1.0,900
APARTMENT,CT,Danbury,6810,,,0,1.0,995
APARTMENT,CT,Hartford,6105,,650.0,1,1.0,985
APARTMENT,CT,East Hartford,6118,,,1,1.0,975
APARTMENT,CT,East Hartford,6118,,500.0,1,1.0,935
APARTMENT,CT,Vernon,6066,,650.0,1,1.0,925
APARTMENT,CT,Bristol,6010,,4251.0,0,1.0,900
APARTMENT,CT,East Hartford,6108,,225.0,0,1.0,950
APARTMENT,CT,Bridgeport,6604,,350.0,0,1.0,900
APARTMENT,CT,Bridgeport,6605,,,0,1.0,950
APARTMENT,CT,East Haven,6512,,,0,1.0,995
APARTMENT,CT,Hartford,6105,,900.0,1,1.0,955
APARTMENT,CT,BASEMENT Waterbury,6704,,,1,1.0,900
APARTMENT,CT,Moosup,6354,,,1,1.0,900
APARTMENT,CT,Hartford,6105,,675.0,1,1.0,900
APARTMENT,CT,Middletown,6457,,800.0,1,1.0,985
APARTMENT,CT,Hartford,6105,,900.0,1,1.0,995
APARTMENT,CT,New Haven,6519,,,2,1.0,1000
APARTMENT,CT,Bridgeport,6606,,,1,1.0,1095
APARTMENT,CT,New Britain,6051,,850.0,1,1.0,1050
APARTMENT,CT,New Haven,6511,,448.0,0,1.0,1000
APARTMENT,CT,Meriden,6450,,663.0,1,1.0,1090
APARTMENT,CT,New Britain,6053,,560.0,1,1.0,1000
APARTMENT,CT,Bridgeport,6605,,564.0,1,1.0,1061
APARTMENT,CT,Hartford,6106,,,0,1.0,1045
APARTMENT,CT,Norwich,6360,,,2,1.5,1065
APARTMENT,CT,Waterbury,6705,,1005.0,2,1.5,1075
APARTMENT,CT,New Britain,6053,,1035.0,2,1.0,1075
APARTMENT,CT,Willimantic,6226,,,2,1.5,1030
APARTMENT,CT,Wallingford,6492,,,2,1.0,1093
APARTMENT,CT,New London,6320,,,2,1.5,1090
APARTMENT,CT,Hartford,6114,,,1,1.0,1000
APARTMENT,CT,New London,6320,,,3,1.5,1018
APARTMENT,CT,New Britain,6051,,,1,1.0,1050
APARTMENT,CT,Norwich,6360,,550.0,1,1.0,1049
APARTMENT,CT,Hartford,6106,,625.0,1,1.0,1080
APARTMENT,CT,Willington,6279,,680.0,1,1.0,1075
APARTMENT,CT,Wallingford,6492,,550.0,1,1.0,1000
APARTMENT,CT,Waterbury,6705,,600.0,1,1.0,1050
APARTMENT,CT,New Haven,6513,,,1,1.0,1050
APARTMENT,CT,Plantsville,6479,,750.0,1,1.0,1025
APARTMENT,CT,Bristol,6010,,,1,1.0,1025
APARTMENT,CT,New Britain,6051,,800.0,2,1.0,1000
APARTMENT,CT,Waterbury,6704,,,1,1.0,1000
APARTMENT,CT,East Hartford,6108,,600.0,1,1.0,1095
APARTMENT,CT,Hartford,6105,,800.0,1,1.0,1095
APARTMENT,CT,Bristol,6010,,,1,1.0,1095
APARTMENT,CT,Farmington,6032,,650.0,0,1.0,1025
APARTMENT,CT,New Haven,6513,,,1,1.0,1000
APARTMENT,CT,Middletown,6457,,1100.0,2,1.0,1075
APARTMENT,CT,New Britain,6053,,1254.0,2,1.0,1000
MULTI_FAMILY,CT,Meriden,6451,,847.0,1,1.0,1000
APARTMENT,CT,Meriden,6450,,800.0,1,1.0,1050
APARTMENT,CT,Hartford,6114,,700.0,1,1.0,1050
APARTMENT,CT,Bridgeport,6608,,900.0,1,1.0,1010
APARTMENT,CT,Waterbury,6710,,700.0,1,1.0,1050
APARTMENT,CT,Stafford Springs,6076,,800.0,2,1.0,1000
APARTMENT,CT,Hartford,6105,,,0,1.0,1000
APARTMENT,CT,Meriden,6451,,630.0,1,1.0,1050
MULTI_FAMILY,CT,Bristol,6010,,1740.0,1,1.0,1095
APARTMENT,CT,New Haven,6515,,,0,1.0,1050
APARTMENT,CT,Hartford,6105,,900.0,1,1.0,1050
APARTMENT,CT,Waterbury,6710,,,1,1.0,1050
APARTMENT,CT,Hartford,6105,,650.0,1,1.0,1025
APARTMENT,CT,Manchester,6040,,,0,1.0,1000
TOWNHOUSE,CT,New Haven,6519,,800.0,2,1.0,1050
APARTMENT,CT,Norwich,6360,,618.0,1,1.0,1000
APARTMENT,CT,Bridgeport,6605,,,0,1.0,1025
APARTMENT,CT,Torrington,6790,,850.0,2,1.0,1050
APARTMENT,CT,New Haven,6511,,,1,1.0,1050
APARTMENT,CT,Hartford,6105,,600.0,1,1.0,1095
APARTMENT,CT,Stratford,6615,,,1,1.0,1100
APARTMENT,CT,Plainville,6062,,550.0,1,1.0,1150
APARTMENT,CT,Middletown,6457,,,2,1.5,1110
APARTMENT,CT,Middletown,6457,,,2,1.0,1195
APARTMENT,CT,Hartford,6120,,,2,1.5,1100
APARTMENT,CT,Goshen,6756,,646.0,2,1.0,1100
APARTMENT,CT,Hartford,6106,,850.0,1,1.0,1100
APARTMENT,CT,Bristol,6010,,700.0,1,1.0,1100
APARTMENT,CT,Meriden,6450,,,2,1.0,1195
APARTMENT,CT,Meriden,6451,,750.0,1,1.0,1100
APARTMENT,CT,New Haven,6511,,850.0,1,1.0,1195
APARTMENT,CT,New Haven,6510,,450.0,0,0.0,1195
APARTMENT,CT,Danielson,6239,,,2,1.0,1150
APARTMENT,CT,Hartford,6103,,610.0,1,1.0,1190
APARTMENT,CT,West Haven,6516,,800.0,1,1.0,1175
APARTMENT,CT,New Haven,6511,,550.0,0,1.0,1195
APARTMENT,CT,Hartford,6106,,,2,1.0,1100
APARTMENT,CT,Solomon Xing New Haven,6515,,1047.0,2,1.0,1122
APARTMENT,CT,Wolcott,6716,,752.0,2,1.0,1178
APARTMENT,CT,Middletown,6457,,,1,1.0,1150
APARTMENT,CT,Middletown,6457,,,1,1.0,1150
APARTMENT,CT,Middletown,6457,,980.0,1,1.0,1150
APARTMENT,CT,Meriden,6451,,,1,1.0,1150
APARTMENT,CT,Middletown,6457,,,1,1.0,1150
APARTMENT,CT,Middletown,6457,,980.0,1,1.0,1150
APARTMENT,CT,Middletown,6457,,650.0,1,1.0,1150
APARTMENT,CT,Hartford,6106,,650.0,1,1.0,1150
APARTMENT,CT,West Haven,6516,,,1,1.0,1195
APARTMENT,CT,Canton,6019,,740.0,1,1.0,1192
APARTMENT,CT,Meriden,6451,,650.0,1,1.0,1100
APARTMENT,CT,Meriden,6450,,980.0,1,1.0,1150
APARTMENT,CT,Waterbury,6706,,,3,2.0,1145
APARTMENT,CT,Meriden,6450,,860.0,1,1.0,1150
APARTMENT,CT,Meriden,6451,,,1,1.0,1198
APARTMENT,CT,Meriden,6450,,700.0,1,1.0,1150
APARTMENT,CT,Waterbury,6705,,,1,1.0,1100
APARTMENT,CT,Middletown,6457,,,0,1.0,1130
APARTMENT,CT,Meriden,6451,,,1,1.0,1150
APARTMENT,CT,Vernon Rockville,6066,,,2,1.5,1125
APARTMENT,CT,Meriden,6451,,650.0,1,1.0,1150
APARTMENT,CT,Ashford,6278,,600.0,1,1.0,1100
APARTMENT,CT,Middletown,6457,,,1,1.0,1150
APARTMENT,CT,Norwich,6360,,900.0,2,1.5,1100
APARTMENT,CT,Windsor Locks,6096,,525.0,1,1.0,1195
APARTMENT,CT,New Britain,6053,,650.0,1,1.0,1100
APARTMENT,CT,West Haven,6516,,,1,1.0,1195
APARTMENT,CT,Hartford,6114,,,1,1.0,1100
APARTMENT,CT,Bloomfield,6002,,,1,1.0,1133
APARTMENT,CT,Norwich,6360,,900.0,1,1.0,1130
APARTMENT,CT,West Haven,6516,,,2,2.0,1100
APARTMENT,CT,Bridgeport,6604,,614.0,1,1.0,1195
APARTMENT,CT,Bridgeport,6604,,400.0,0,1.0,1150
APARTMENT,CT,Groton,6340,,300.0,0,1.0,1150
APARTMENT,CT,New Britain,6053,,600.0,0,1.0,1150
APARTMENT,CT,Manchester,6042,,850.0,1,1.0,1150
APARTMENT,CT,Vernon Rockville,6066,,750.0,2,1.0,1100
APARTMENT,CT,New Haven,6513,,,1,1.0,1150
APARTMENT,CT,Hartford,6105,,800.0,1,1.0,1100
APARTMENT,CT,Hartford,6105,,,0,1.0,1100
APARTMENT,CT,Naugatuck,6770,,625.0,1,1.0,1100
APARTMENT,CT,New Haven,6513,,,1,1.0,1175
APARTMENT,CT,Hartford,6106,,477.0,1,1.0,1100
MULTI_FAMILY,CT,Washington Depot,6794,,300.0,1,1.0,1100
APARTMENT,CT,East Hartford,6108,,600.0,1,1.0,1195
APARTMENT,CT,Manchester,6040,,700.0,1,1.0,1175
APARTMENT,CT,New Milford,6776,,,0,1.0,1100
APARTMENT,CT,Windsor Locks,6096,,800.0,1,1.0,1100
APARTMENT,CT,Waterbury,6710,,,2,1.0,1100
APARTMENT,CT,East Hartford,6108,,800.0,2,1.0,1150
