home_type,state,borough,zip,lot_size,house_area,bedrooms,bathrooms,price
SINGLE_FAMILY,NY,Rochester,14623,,1235.0,3,1.0,1850
SINGLE_FAMILY,NY,Rochester,14618,,1665.0,3,1.0,2990
TOWNHOUSE,NY,Rochester,14611,,1000.0,3,1.0,1150
SINGLE_FAMILY,NY,Rochester,14620,,1860.0,4,2.0,2400
SINGLE_FAMILY,NY,Rochester,14620,,1950.0,5,2.0,2400
SINGLE_FAMILY,NY,Rochester,14620,,1800.0,5,2.0,2500
SINGLE_FAMILY,NY,Rochester,14607,,3600.0,2,2.0,4000
SINGLE_FAMILY,NY,Rochester,14626,,1200.0,3,1.0,2100
SINGLE_FAMILY,NY,Rochester,14623,,1220.0,3,2.0,2200
SINGLE_FAMILY,NY,Rochester,14620,,1900.0,4,2.0,2600
SINGLE_FAMILY,NY,Rochester,14620,,1798.0,5,4.0,2850
SINGLE_FAMILY,NY,Rochester,14609,,1600.0,3,1.0,2300
SINGLE_FAMILY,NY,Rochester,14611,,1408.0,4,1.5,1450
SINGLE_FAMILY,NY,Gates,14606,,,3,1.5,2100
SINGLE_FAMILY,NY,Rochester,14619,,1074.0,3,1.0,1875
SINGLE_FAMILY,NY,Rochester,14608,,1500.0,4,2.0,2700
SINGLE_FAMILY,NY,Rochester,14620,,1150.0,3,2.0,1950
TOWNHOUSE,NY,Rochester,14616,,1880.0,3,2.0,2250
TOWNHOUSE,NY,Rochester,14620,,1300.0,2,2.5,1898
SINGLE_FAMILY,NY,Rochester,14612,,1770.0,3,1.5,1850
SINGLE_FAMILY,NY,Rochester,14620,,1131.0,3,2.0,2550
SINGLE_FAMILY,NY,Rochester,14607,,1185.0,2,2.0,2095
SINGLE_FAMILY,NY,Rochester,14620,,1152.0,3,2.0,1950
TOWNHOUSE,NY,Rochester,14608,,1185.0,2,1.5,2650
SINGLE_FAMILY,NY,Rochester,14620,,1320.0,4,2.0,2550
SINGLE_FAMILY,NY,Rochester,14618,,968.0,2,1.5,1650
SINGLE_FAMILY,NY,Rochester,14620,,1380.0,4,2.0,2450
SINGLE_FAMILY,NY,Rochester,14611,,1625.0,4,2.0,1995
TOWNHOUSE,NY,Rochester,14607,,,1,1.0,950
TOWNHOUSE,NY,Rochester,14620,,,3,1.0,1600
SINGLE_FAMILY,NY,Rochester,14607,,1300.0,1,1.0,1400
SINGLE_FAMILY,NY,Rochester,14606,,1040.0,3,1.0,2000
MANUFACTURED,NY,Rochester,14611,,,0,0.0,175
SINGLE_FAMILY,NY,Rochester,14623,,1028.0,3,1.0,2100
SINGLE_FAMILY,NY,Rochester,14607,,2100.0,4,2.5,2400
SINGLE_FAMILY,NY,Rochester,14620,,1108.0,3,1.0,1900
TOWNHOUSE,NY,Rochester,14610,,800.0,1,1.0,900
TOWNHOUSE,NY,Rochester,14610,,1500.0,3,1.5,1900
SINGLE_FAMILY,NY,Rochester,14609,,768.0,2,1.0,1200
SINGLE_FAMILY,NY,Rochester,14619,,1176.0,3,1.0,1800
SINGLE_FAMILY,NY,Rochester,14620,,1555.0,4,1.5,2400
SINGLE_FAMILY,NY,Rochester,14611,,1930.0,5,1.5,2750
SINGLE_FAMILY,NY,Rochester,14611,,1800.0,4,1.5,2200
SINGLE_FAMILY,NY,Rochester,14609,,1372.0,3,1.0,2150
TOWNHOUSE,NY,Rochester,14620,,1100.0,2,1.0,1450
SINGLE_FAMILY,NY,Rochester,14619,,1650.0,4,1.0,2100
SINGLE_FAMILY,NY,Rochester,14623,,1114.0,3,1.0,2100
TOWNHOUSE,NY,Rochester,14618,,1239.0,3,2.5,2395
SINGLE_FAMILY,NY,Rochester,14609,,1340.0,3,1.0,20000
SINGLE_FAMILY,NY,Rochester,14620,,,3,1.0,1400
SINGLE_FAMILY,NY,Rochester,14613,,,3,1.0,1300
SINGLE_FAMILY,NY,Rochester,14613,,,3,1.0,1300
SINGLE_FAMILY,NY,Rochester,14606,,1501.0,4,1.0,1850
SINGLE_FAMILY,NY,Rochester,14619,,1268.0,3,1.0,1800
TOWNHOUSE,NY,Rochester,14610,,2050.0,3,2.0,2625
SINGLE_FAMILY,NY,Rochester,14608,,1316.0,3,1.0,1650
SINGLE_FAMILY,NY,Rochester,14621,,1356.0,4,2.0,1600
SINGLE_FAMILY,NY,Rochester,14606,,1000.0,3,1.5,1575
SINGLE_FAMILY,NY,Rochester,14624,,1008.0,3,1.0,2100
SINGLE_FAMILY,NY,Rochester,14623,,7916.0,0,1.0,9500
SINGLE_FAMILY,NY,Rochester,14610,,,4,2.0,2700
SINGLE_FAMILY,NY,Rochester,14609,,1678.0,4,1.5,1700
SINGLE_FAMILY,NY,Rochester,14619,,,3,1.0,1500
SINGLE_FAMILY,NY,Rochester,14611,,1056.0,3,1.0,2100
SINGLE_FAMILY,NY,Rochester,14609,,1836.0,5,1.5,2000
SINGLE_FAMILY,NY,Rochester,14624,,1320.0,4,2.0,2100
TOWNHOUSE,NY,Rochester,14607,,1600.0,3,1.5,2200
SINGLE_FAMILY,NY,Rochester,14609,,1903.0,5,2.0,3000
SINGLE_FAMILY,NY,Rochester,14609,,1790.0,5,2.0,3000
SINGLE_FAMILY,NY,Rochester,14611,,1162.0,4,2.0,2500
SINGLE_FAMILY,NY,Rochester,14610,,2100.0,4,2.5,2595
TOWNHOUSE,NY,Rochester,14610,,1500.0,3,1.0,1800
SINGLE_FAMILY,NY,Rochester,14620,,1608.0,4,2.0,2600
TOWNHOUSE,NY,Rochester,14615,,,3,1.0,1050
SINGLE_FAMILY,NY,Rochester,14606,,720.0,3,1.0,1395
SINGLE_FAMILY,NY,Rochester,14610,,1900.0,3,1.5,2600
SINGLE_FAMILY,NY,Rochester,14611,,1800.0,4,3.0,2400
TOWNHOUSE,NY,Rochester,14610,,1500.0,3,1.0,1800
SINGLE_FAMILY,NY,Rochester,14621,,100.0,5,1.5,1050
SINGLE_FAMILY,NY,Rochester,14620,,1200.0,3,1.0,2200
SINGLE_FAMILY,NY,Rochester,14620,,1152.0,3,1.0,2195
SINGLE_FAMILY,NY,Rochester,14606,,830.0,3,1.0,1550
SINGLE_FAMILY,NY,Rochester,14620,,896.0,2,1.5,1600
SINGLE_FAMILY,NY,Rochester,14620,,1500.0,3,1.5,2000
SINGLE_FAMILY,NY,Rochester,14625,,1432.0,3,1.5,2200
SINGLE_FAMILY,NY,Rochester,14615,,1100.0,2,1.0,1000
TOWNHOUSE,NY,Rochester,14619,,1000.0,2,1.0,1000
SINGLE_FAMILY,NY,Rochester,14611,,,2,1.0,1225
SINGLE_FAMILY,NY,Rochester,14620,,2100.0,4,2.0,2750
SINGLE_FAMILY,NY,Rochester,14606,,1434.0,3,1.0,1550
SINGLE_FAMILY,NY,Rochester,14611,,1508.0,4,1.0,1950
SINGLE_FAMILY,NY,Rochester,14620,,1368.0,3,2.0,2100
SINGLE_FAMILY,NY,Rochester,14620,,1489.0,5,4.0,4200
SINGLE_FAMILY,NY,Rochester,14608,,1100.0,3,1.0,1800
SINGLE_FAMILY,NY,Rochester,14620,,1315.0,4,2.0,2500
SINGLE_FAMILY,NY,Rochester,14608,,1554.0,4,2.0,2100
SINGLE_FAMILY,NY,Rochester,14619,,,3,1.0,1250
SINGLE_FAMILY,NY,Rochester,14621,,,4,1.0,1500
SINGLE_FAMILY,NY,Rochester,14619,,1542.0,3,1.5,2300
SINGLE_FAMILY,NY,Rochester,14615,,1188.0,3,1.0,1900
SINGLE_FAMILY,NY,Rochester,14617,,1537.0,2,2.0,1750
SINGLE_FAMILY,NY,Rochester,14620,,4229.0,3,2.5,3500
TOWNHOUSE,NY,Rochester,14619,,1000.0,2,1.0,850
SINGLE_FAMILY,NY,Rochester,14616,,1760.0,4,2.0,3500
TOWNHOUSE,NY,Rochester,14611,,,2,1.0,1000
TOWNHOUSE,NY,Rochester,14613,,1100.0,3,1.0,1295
TOWNHOUSE,NY,Rochester,14621,,800.0,1,1.0,745
SINGLE_FAMILY,CT,Stamford,6902,,3266.0,3,3.0,12000
TOWNHOUSE,CT,Stamford,6902,,,3,1.0,3200
SINGLE_FAMILY,CT,Greenwich,6831,,4414.0,4,4.5,15000
SINGLE_FAMILY,CT,Stamford,6902,,3599.0,4,3.5,13000
TOWNHOUSE,CT,Stamford,6906,,1750.0,3,2.5,4200
SINGLE_FAMILY,CT,Stamford,6905,,3200.0,4,3.5,9000
SINGLE_FAMILY,CT,Stamford,6902,,3413.0,5,3.5,7900
SINGLE_FAMILY,CT,Stamford,6905,,1126.0,3,1.5,3495
SINGLE_FAMILY,CT,Stamford,6905,,1500.0,3,2.0,3500
SINGLE_FAMILY,CT,Stamford,6902,,6188.0,5,5.5,13500
SINGLE_FAMILY,CT,Stamford,6902,,1300.0,3,1.5,7500
SINGLE_FAMILY,CT,Stamford,6903,,5557.0,5,4.5,25000
SINGLE_FAMILY,CT,Stamford,6905,,1700.0,4,3.0,4200
SINGLE_FAMILY,CT,Stamford,6907,,1500.0,4,2.0,3600
SINGLE_FAMILY,CT,Stamford,6902,,2272.0,3,2.5,9950
SINGLE_FAMILY,CT,Stamford,6902,,1954.0,3,3.0,4295
SINGLE_FAMILY,CT,Stamford,6902,,445.0,1,1.0,1895
TOWNHOUSE,CT,Stamford,6907,,1550.0,2,1.0,2100
TOWNHOUSE,CT,Stamford,6907,,1625.0,2,1.5,3550
SINGLE_FAMILY,CT,Stamford,6902,,1800.0,2,2.5,3900
SINGLE_FAMILY,CT,Stamford,6905,,2889.0,3,2.5,7400
SINGLE_FAMILY,CT,Stamford,6905,,3291.0,4,3.0,6200
TOWNHOUSE,CT,Stamford,6902,,1470.0,2,2.5,3199
SINGLE_FAMILY,CT,Stamford,6905,,796.0,1,1.0,1850
SINGLE_FAMILY,CT,Stamford,6902,,3360.0,3,2.0,4800
