home_type,state,borough,zip,lot_size,house_area,bedrooms,bathrooms,price
SINGLE_FAMILY,CT,Thomaston,6787,0.55,1248.0,3.0,1.0,95000
SINGLE_FAMILY,CT,Naugatuck,6770,,840.0,2.0,2.0,89999
SINGLE_FAMILY,CT,Coventry,6238,1.57,986.0,3.0,1.0,65000
SINGLE_FAMILY,CT,Torrington,6790,,1340.0,2.0,1.0,45000
CONDO,CT,Bristol,6010,,1209.0,3.0,2.0,99900
MULTI_FAMILY,CT,Hartford,6114,0.01,2304.0,4.0,4.0,98000
SINGLE_FAMILY,CT,Winsted,6098,0.1,1600.0,4.0,2.0,80000
MULTI_FAMILY,CT,Hartford,6120,0.1,1377.0,,0.0,99900
CONDO,CT,New Haven,6519,,1200.0,3.0,1.0,89900
CONDO,CT,Stratford,6614,,575.0,1.0,1.0,45000
CONDO,CT,Norwich,6360,,893.0,1.0,1.0,74900
CONDO,CT,Hartford,6105,,840.0,2.0,2.0,84900
CONDO,CT,Stratford,6614,,790.0,2.0,1.0,99000
CONDO,CT,Hartford,6105,,662.0,1.0,1.0,95000
CONDO,CT,Stratford,6614,,795.0,2.0,1.0,68000
CONDO,CT,Hartford,6114,,654.0,2.0,1.0,59900
CONDO,CT,Bridgeport,6610,,650.0,1.0,1.0,99000
CONDO,CT,Hartford,6105,,1078.0,2.0,2.0,78000
SINGLE_FAMILY,CT,Waterbury,6704,0.03,1024.0,3.0,2.0,70000
CONDO,CT,Stratford,6614,,922.0,2.0,1.0,59900
CONDO,CT,Norwalk,6854,,175.0,0.0,0.0,15500
CONDO,CT,West Haven,6516,,912.0,2.0,1.0,99900
CONDO,CT,Stratford,6614,,790.0,1.0,1.0,75000
CONDO,CT,Hartford,6105,,923.0,1.0,2.0,85000
CONDO,CT,Stonington,6378,,50.0,0.0,0.0,55000
CONDO,CT,Hartford,6105,,645.0,1.0,1.0,84900
CONDO,CT,Enfield,6082,,1232.0,2.0,1.0,84100
CONDO,CT,Bridgeport,6610,,600.0,2.0,1.0,69900
CONDO,CT,New Haven,6511,,815.0,1.0,1.0,93900
CONDO,CT,Bridgeport,6610,,737.0,3.0,1.0,80000
CONDO,CT,Stonington,6378,,50.0,0.0,4.0,60000
CONDO,CT,Guilford,6437,,760.0,0.0,0.0,29000
CONDO,CT,Stratford,6614,,737.0,3.0,1.0,99900
CONDO,CT,Hartford,6105,,1046.0,1.0,2.0,88000
CONDO,CT,Guilford,6437,,767.0,0.0,0.0,30000
CONDO,CT,Stonington,6378,,50.0,0.0,0.0,53000
CONDO,CT,Waterbury,6706,,576.0,1.0,1.0,66000
CONDO,CT,Guilford,6437,,420.0,0.0,0.0,36900
SINGLE_FAMILY,CT,East Hartford,6118,0.34,1232.0,3.0,2.0,179900
CONDO,CT,East Haven,6513,,1066.0,2.0,2.0,183000
SINGLE_FAMILY,CT,Norwich,6360,0.05,1346.0,3.0,2.0,142000
CONDO,CT,Vernon,6066,,1314.0,2.0,3.0,150000
SINGLE_FAMILY,CT,Newington,6111,0.09,768.0,2.0,1.0,145000
SINGLE_FAMILY,CT,Broad Brook,6016,0.37,1500.0,3.0,2.0,185500
SINGLE_FAMILY,CT,Winsted,6098,0.36,600.0,2.0,1.0,165000
CONDO,CT,Bridgeport,6606,,930.0,2.0,1.0,185000
SINGLE_FAMILY,CT,New Britain,6052,0.76,3143.0,5.0,5.0,199000
SINGLE_FAMILY,CT,East Hartford,6118,0.26,945.0,2.0,1.0,199900
MULTI_FAMILY,CT,Southington,6489,0.61,1270.0,4.0,2.0,174900
SINGLE_FAMILY,CT,Granby,6035,0.68,1267.0,4.0,2.0,199900
SINGLE_FAMILY,CT,Oakdale,6370,1.05,2388.0,3.0,3.0,199900
CONDO,CT,Plymouth,6786,,1078.0,2.0,3.0,144000
CONDO,CT,Newington,6111,,1032.0,2.0,2.0,170000
SINGLE_FAMILY,CT,Uncasville,6382,0.69,1746.0,3.0,1.0,198000
CONDO,CT,Waterbury,6705,,1279.0,3.0,2.0,160000
SINGLE_FAMILY,CT,New Britain,6051,0.14,1890.0,3.0,2.0,195000
