home_type,state,borough,zip,lot_size,house_area,bedrooms,bathrooms,price
TOWNHOUSE,NY,Rochester,14626,0.17,1154.0,2.0,2,189000
SINGLE_FAMILY,NY,Irondequoit,14622,0.41,2072.0,4.0,2,205900
SINGLE_FAMILY,NY,Rochester,14626,1.4,3600.0,4.0,3,250000
SINGLE_FAMILY,NY,Rochester,14618,0.3,2054.0,4.0,2,269000
SINGLE_FAMILY,NY,Rochester,14618,0.35,1987.0,4.0,2,289900
SINGLE_FAMILY,NY,Rochester,14606,0.21,1808.0,4.0,2,199900
SINGLE_FAMILY,NY,Rochester,14624,0.43,1936.0,4.0,3,229900
SINGLE_FAMILY,NY,Rochester,14617,0.4,2194.0,3.0,2,279000
SINGLE_FAMILY,NY,Rochester,14616,0.3783,1818.0,3.0,3,259900
SINGLE_FAMILY,NY,Rochester,14618,0.68,1708.0,3.0,2,289900
SINGLE_FAMILY,NY,Rochester,14609,0.11,1248.0,3.0,2,174999
SINGLE_FAMILY,NY,Rochester,14616,0.132,948.0,2.0,1,109900
SINGLE_FAMILY,NY,Rochester,14620,0.0517,1198.0,3.0,1,119900
SINGLE_FAMILY,NY,Rochester,14626,0.29,1887.0,3.0,3,299900
SINGLE_FAMILY,NY,Rochester,14626,0.6667,1637.0,3.0,2,119900
SINGLE_FAMILY,NY,Rochester,14616,0.1451,1638.0,3.0,1,119900
SINGLE_FAMILY,NY,Rochester,14607,0.1377,2284.0,3.0,2,169900
SINGLE_FAMILY,NY,Rochester,14612,0.1875,1128.0,3.0,1,131900
SINGLE_FAMILY,NY,Rochester,14609,0.12,1284.0,3.0,1,145000
SINGLE_FAMILY,NY,Rochester,14626,0.2255,1132.0,4.0,1,150000
SINGLE_FAMILY,NY,Rochester,14616,0.2893,1132.0,2.0,2,124900
SINGLE_FAMILY,NY,Rochester,14610,0.39,1926.0,3.0,3,279900
MULTI_FAMILY,NY,Rochester,14620,0.0849,2198.0,4.0,2,249500
SINGLE_FAMILY,NY,Rochester,14624,0.41,1564.0,3.0,2,189900
SINGLE_FAMILY,NY,Rochester,14617,0.15,1515.0,4.0,2,174900
SINGLE_FAMILY,NY,Rochester,14612,0.28,1640.0,4.0,2,219900
SINGLE_FAMILY,NY,Rochester,14624,0.29,2176.0,4.0,3,299900
SINGLE_FAMILY,NY,Rochester,14617,0.15,1952.0,4.0,3,219900
SINGLE_FAMILY,NY,Irondequoit,14617,0.16,1470.0,3.0,2,154900
SINGLE_FAMILY,NY,Rochester,14609,0.101,1892.0,3.0,1,139900
SINGLE_FAMILY,NY,Rochester,14626,0.28,2020.0,3.0,3,234900
SINGLE_FAMILY,NY,Rochester,14624,0.35,1975.0,4.0,2,199900
SINGLE_FAMILY,NY,Rochester,14612,0.11,1772.0,4.0,2,159900
SINGLE_FAMILY,NY,Rochester,14606,0.25,1470.0,3.0,2,164900
SINGLE_FAMILY,NY,Rochester,14610,0.16,2082.0,3.0,3,219900
SINGLE_FAMILY,NY,Rochester,14619,0.1159,1556.0,4.0,2,179900
SINGLE_FAMILY,NY,Rochester,14617,0.4,1458.0,3.0,3,179900
SINGLE_FAMILY,NY,Rochester,14623,0.35,1054.0,3.0,1,149900
SINGLE_FAMILY,NY,Rochester,14618,0.23,1320.0,3.0,1,200000
SINGLE_FAMILY,NY,Rochester,14619,0.124,1845.0,4.0,3,199800
SINGLE_FAMILY,NY,Rochester,14618,0.68,1708.0,3.0,2,289900
SINGLE_FAMILY,NY,Rochester,14618,0.35,1987.0,4.0,2,289900
MULTI_FAMILY,NY,Rochester,14620,0.0849,2198.0,4.0,2,249500
SINGLE_FAMILY,NY,Rochester,14612,0.34,1526.0,3.0,3,289900
SINGLE_FAMILY,NY,Rochester,14610,0.16,2082.0,3.0,3,219900
SINGLE_FAMILY,NY,Rochester,14609,0.12,1284.0,3.0,1,145000
SINGLE_FAMILY,NY,Irondequoit,14622,0.41,2072.0,4.0,2,205900
SINGLE_FAMILY,NY,Rochester,14618,0.3,2054.0,4.0,2,269000
SINGLE_FAMILY,NY,Rochester,14624,0.35,1975.0,4.0,2,199900
SINGLE_FAMILY,NY,Rochester,14616,0.2901,1944.0,4.0,2,234900
SINGLE_FAMILY,NY,Rochester,14626,0.29,1887.0,3.0,3,299900
SINGLE_FAMILY,NY,Rochester,14610,0.25,1344.0,3.0,2,172900
SINGLE_FAMILY,NY,Rochester,14610,0.197,2286.0,4.0,3,449900
SINGLE_FAMILY,NY,Rochester,14626,0.28,2020.0,3.0,3,234900
SINGLE_FAMILY,NY,Rochester,14620,0.08,1176.0,3.0,2,199900
SINGLE_FAMILY,NY,Rochester,14609,0.14,1724.0,3.0,2,169900
SINGLE_FAMILY,NY,Rochester,14618,0.42,2342.0,4.0,4,565000
MULTI_FAMILY,NY,Rochester,14610,0.1102,2540.0,6.0,2,265000
SINGLE_FAMILY,NY,Rochester,14607,0.1607,3120.0,4.0,3,424900
SINGLE_FAMILY,NY,Rochester,14620,0.1,1248.0,3.0,1,179900
SINGLE_FAMILY,NY,Rochester,14612,0.2584,1914.0,3.0,3,249900
SINGLE_FAMILY,NY,Rochester,14608,0.22,2396.0,4.0,1,220000
SINGLE_FAMILY,NY,Rochester,14611,0.11,1844.0,3.0,3,284900
SINGLE_FAMILY,NY,Rochester,14626,0.3,1612.0,3.0,2,174500
SINGLE_FAMILY,NY,Pittsford,14618,0.46,1862.0,4.0,4,635000
SINGLE_FAMILY,NY,Rochester,14612,0.18,1332.0,3.0,2,250000
SINGLE_FAMILY,NY,Rochester,14624,0.25,1181.0,3.0,3,224900
SINGLE_FAMILY,NY,Rochester,14621,0.0964,1238.0,3.0,1,119901
SINGLE_FAMILY,NY,Rochester,14612,0.14,1344.0,4.0,2,109900
MULTI_FAMILY,NY,Rochester,14609,0.1451,2324.0,4.0,4,149900
SINGLE_FAMILY,NY,Pittsford,14534,0.6,3333.0,5.0,4,569900
SINGLE_FAMILY,NY,Rochester,14617,0.4,2194.0,3.0,2,279000
SINGLE_FAMILY,NY,Rochester,14617,0.15,1485.0,3.0,2,154900
SINGLE_FAMILY,NY,Rochester,14620,0.21,3092.0,4.0,3,499900
SINGLE_FAMILY,NY,Rochester,14624,0.52,4076.0,6.0,5,299000
TOWNHOUSE,NY,Rochester,14626,0.17,1154.0,2.0,2,189000
SINGLE_FAMILY,NY,Rochester,14609,0.11,1248.0,3.0,2,174999
TOWNHOUSE,NY,Rochester,14618,0.08,1586.0,2.0,2,250000
SINGLE_FAMILY,NY,Rochester,14615,0.1641,1220.0,3.0,2,135000
MULTI_FAMILY,NY,Rochester,14612,0.42,1352.0,3.0,2,149900
SINGLE_FAMILY,NY,Rochester,14618,0.42,2342.0,4.0,4,565000
SINGLE_FAMILY,NY,Rochester,14613,0.0988,931.0,2.0,1,33000
SINGLE_FAMILY,NY,Rochester,14606,0.096,1634.0,4.0,2,154900
SINGLE_FAMILY,NY,Rochester,14617,0.15,1485.0,3.0,2,154900
SINGLE_FAMILY,NY,Rochester,14624,0.38,2115.0,4.0,3,250000
SINGLE_FAMILY,NY,Rochester,14612,0.14,1344.0,4.0,2,109900
SINGLE_FAMILY,NY,Rochester,14606,0.26,1447.0,3.0,2,179900
TOWNHOUSE,NY,Rochester,14607,0.03,1226.0,2.0,2,199900
SINGLE_FAMILY,NY,Rochester,14615,0.1641,1220.0,3.0,2,135000
SINGLE_FAMILY,NY,Rochester,14613,0.0502,1230.0,3.0,1,30000
SINGLE_FAMILY,NY,Rochester,14624,0.21,1635.0,3.0,2,319900
MULTI_FAMILY,NY,Rochester,14611,0.11,2216.0,7.0,2,64900
SINGLE_FAMILY,NY,Rochester,14612,0.1704,1536.0,4.0,2,140000
SINGLE_FAMILY,NY,Rochester,14622,0.34,920.0,2.0,2,119900
SINGLE_FAMILY,NY,Rochester,14619,0.0872,1222.0,3.0,2,129900
SINGLE_FAMILY,NY,Rochester,14606,0.25,2110.0,3.0,3,349900
SINGLE_FAMILY,NY,Rochester,14619,0.1158,942.0,3.0,1,139900
MULTI_FAMILY,NY,Rochester,14619,0.101,2296.0,4.0,2,159900
SINGLE_FAMILY,NY,Pittsford,14618,0.46,1862.0,4.0,4,635000
SINGLE_FAMILY,NY,Rochester,14626,1.1,1596.0,4.0,2,215000
SINGLE_FAMILY,NY,Rochester,14616,0.1,1107.0,3.0,1,135000
SINGLE_FAMILY,NY,Rochester,14612,0.22,1058.0,2.0,2,185000
SINGLE_FAMILY,NY,Rochester,14623,0.2204,1344.0,3.0,2,184900
MULTI_FAMILY,NY,Rochester,14607,0.16,3955.0,6.0,4,425000
SINGLE_FAMILY,NY,Rochester,14616,0.155,1260.0,4.0,1,150000
SINGLE_FAMILY,NY,Rochester,14616,0.2277,1389.0,3.0,2,199900
SINGLE_FAMILY,NY,Rochester,14609,0.1,1477.0,5.0,1,85000
SINGLE_FAMILY,NY,Rochester,14612,0.1543,1268.0,3.0,2,169900
SINGLE_FAMILY,NY,Rochester,14609,0.0895,1078.0,2.0,1,130000
SINGLE_FAMILY,NY,Rochester,14606,0.25,1611.0,3.0,2,121900
SINGLE_FAMILY,NY,Rochester,14621,0.3334,4067.0,7.0,2,349900
SINGLE_FAMILY,NY,Rochester,14626,0.1552,1347.0,3.0,1,159900
SINGLE_FAMILY,NY,Rochester,14619,0.11,1508.0,3.0,1,139900
SINGLE_FAMILY,NY,Rochester,14624,0.21,1008.0,3.0,1,149900
SINGLE_FAMILY,NY,Rochester,14624,0.47,2008.0,4.0,3,239900
SINGLE_FAMILY,NY,Rochester,14619,0.1177,1459.0,3.0,1,144900
SINGLE_FAMILY,NY,Rochester,14610,0.24,1403.0,4.0,2,184000
SINGLE_FAMILY,NY,Rochester,14621,0.0659,1352.0,3.0,1,49900
SINGLE_FAMILY,NY,Rochester,14619,0.1212,1860.0,3.0,2,180000
SINGLE_FAMILY,NY,Rochester,14606,0.31,1232.0,3.0,2,209900
MULTI_FAMILY,NY,Rochester,14621,0.0827,1768.0,4.0,2,59000
SINGLE_FAMILY,NY,Rochester,14616,0.1286,924.0,2.0,1,99900
MULTI_FAMILY,NY,Rochester,14620,0.1053,4418.0,3.0,4,479900
SINGLE_FAMILY,NY,Rochester,14622,0.14,1020.0,2.0,2,139000
SINGLE_FAMILY,NY,Rochester,14606,0.26,1447.0,3.0,2,179900
SINGLE_FAMILY,NY,Rochester,14609,0.0895,1078.0,2.0,1,130000
SINGLE_FAMILY,NY,Rochester,14612,0.1543,1268.0,3.0,2,169900
SINGLE_FAMILY,NY,Rochester,14609,0.1062,1733.0,4.0,2,55000
MULTI_FAMILY,NY,Rochester,14611,0.11,2216.0,7.0,2,64900
SINGLE_FAMILY,NY,Rochester,14618,1.3,7512.0,8.0,6,1200000
SINGLE_FAMILY,NY,Rochester,14609,0.12,1736.0,4.0,2,65000
SINGLE_FAMILY,NY,Rochester,14619,0.11,1508.0,3.0,1,139900
TOWNHOUSE,NY,Rochester,14606,0.19,1306.0,2.0,2,264777
SINGLE_FAMILY,NY,Rochester,14609,0.1286,1644.0,4.0,1,50000
SINGLE_FAMILY,NY,Rochester,14613,0.15,1464.0,3.0,1,99000
SINGLE_FAMILY,NY,Rochester,14624,0.42,2118.0,4.0,2,299000
SINGLE_FAMILY,NY,Rochester,14616,0.225,1432.0,4.0,2,185000
SINGLE_FAMILY,NY,Rochester,14609,0.1286,1554.0,4.0,1,55000
SINGLE_FAMILY,NY,Rochester,14623,0.33,1728.0,4.0,2,259900
SINGLE_FAMILY,NY,Rochester,14624,0.47,2008.0,4.0,3,239900
SINGLE_FAMILY,NY,Rochester,14623,5.51,4590.0,5.0,4,750000
SINGLE_FAMILY,NY,Rochester,14606,0.1148,1015.0,3.0,1,75000
SINGLE_FAMILY,NY,Rochester,14621,0.0659,1352.0,3.0,1,49900
