zipcode,city,state,county,population,median_listing_price,active_listing_count,median_days_on_market,new_listing_count,price_increased_count,price_reduced_count,pending_listing_count,median_listing_price_per_square_foot,median_square_feet,average_listing_price,total_listing_count,crime_count,crime_rate
501,Holtsville,NY,Suffolk,,,,,,,,,,,,,17109,"1132,510103"
544,Holtsville,NY,Suffolk,,,,,,,,,,,,,17109,"1132,510103"
1001,Agawam,MA,Hampden,50307,381200,12,20,10,0,4,3,232,1645,431691,16,,
1002,Amherst,MA,Hampshire,87147,,,,,,,,,,,,,
1003,Amherst,MA,Hampshire,31116,,,,,,,,,,,,,
1004,Amherst,MA,Hampshire,,,,,,,,,,,,,,
1005,Barre,MA,Worcester,15237,129900,1,217,0,0,0,,130,1000,129900,1,,
1007,Belchertown,MA,Hampshire,43947,511250,17,26,12,0,0,2,286,1934,498740,19,,
1008,Blandford,MA,Hampden,3789,,,,,,,,,,,,,
1009,Bondsville,MA,Hampden,2223,,,,,,,,,,,,,
1010,Brimfield,MA,Hampden,10827,,,,,,,,,,,,,
1011,Chester,MA,Hampden,4110,134950,3,69,0,0,2,,61,2136,109133,3,,
1012,Chesterfield,MA,Hampshire,1983,,,,,,,,,,,,,
1013,Chicopee,MA,Hampden,69564,279450,7,33,8,0,2,4,194,1329,281558,10,,
1014,Chicopee,MA,Hampden,,,,,,,,,,,,,,
1020,Chicopee,MA,Hampden,89004,,,,,,,,,,,,,
1021,Chicopee,MA,Hampden,,,,,,,,,,,,,,
1022,Chicopee,MA,Hampden,7353,,,,,,,,,,,,,
1026,Cummington,MA,Hampshire,2838,,,,,,,,,,,,,
1027,Easthampton,MA,Hampshire,52980,554925,6,138,6,0,0,2,335,1642,610508,7,,
1028,East Longmeadow,MA,Hampden,47160,,,,,,,,,,,,,
1029,East Otis,MA,Berkshire,2367,,,,,,,,,,,,,
1030,Feeding Hills,MA,Hampden,35007,,,,,,,,,,,,,
1031,Gilbertville,MA,Worcester,3924,409200,1,56,0,0,0,,250,1638,409200,1,,
1032,Goshen,MA,Hampshire,1710,711500,2,212,0,0,0,,621,1172,711500,2,,
1033,Granby,MA,Hampshire,18681,522500,11,18,6,0,0,2,312,1875,560664,12,,
1034,Granville,MA,Hampden,6063,492450,4,40,0,0,0,,211,1946,406325,4,,
1035,Hadley,MA,Hampshire,15750,575000,3,118,2,0,0,4,201,2795,543000,8,,
1036,Hampden,MA,Hampden,15327,,,,,,,,,,,,,
1037,Hardwick,MA,Worcester,2514,539500,1,23,0,0,0,1,180,3005,539500,1,,
1038,Hatfield,MA,Hampshire,7635,478750,4,100,2,0,0,,401,1294,486613,4,,
1039,Haydenville,MA,Hampshire,4008,,,,,,,,,,,,,
1040,Holyoke,MA,Hampden,119640,283500,16,54,10,0,6,7,155,1690,311393,22,,
1041,Holyoke,MA,Hampden,,,,,,,,,,,,,,
1050,Huntington,MA,Hampshire,7590,,,,,,,,,,,,,
1053,Leeds,MA,Hampshire,5055,314900,1,12,0,0,0,1,163,1937,314900,2,,
1054,Leverett,MA,Franklin,5553,3990000,3,57,0,0,0,0,389,5424,9179667,3,,
1056,Ludlow,MA,Hampden,63309,360425,17,114,10,0,6,6,214,1584,396766,23,,
1057,Monson,MA,Hampden,25602,317450,2,36,4,0,0,2,238,1387,317450,4,,
1059,North Amherst,MA,Hampshire,,,,,,,,,,,,,,
1060,Northampton,MA,Hampshire,45852,,,,,,,,,,,,,
1061,Northampton,MA,Hampshire,,,,,,,,,,,,,,
1062,Florence,MA,Hampshire,33450,484225,7,16,8,0,2,2,254,1711,511533,9,,
1063,Northampton,MA,Hampshire,1290,,,,,,,,,,,,,
1066,North Hatfield,MA,Hampshire,192,,,,,,,,,,,,,
1068,Oakham,MA,Worcester,5706,,,,,,,,,,,,,
1069,Palmer,MA,Hampden,25407,,,,,,,,,,,,,
1070,Plainfield,MA,Hampshire,1887,649000,1,281,0,0,0,,245,2650,649000,1,,
1071,Russell,MA,Hampden,4788,,,,,,,,,,,,,
1072,Shutesbury,MA,Franklin,4434,,,,,,,,,,,,,
1073,Southampton,MA,Hampshire,17376,516100,4,77,0,0,0,1,242,2300,526168,5,,
1074,South Barre,MA,Worcester,957,,,,,,,,,,,,,
1075,South Hadley,MA,Hampshire,52581,,,,,,,,,,,,,
1077,Southwick,MA,Hampden,28506,511808,7,42,2,0,0,2,233,1758,489642,9,,
1079,Thorndike,MA,Hampden,2076,,,,,,,,,,,,,
1080,Three Rivers,MA,Hampden,7002,233900,1,4,2,0,0,,202,1159,233900,1,,
1081,Wales,MA,Hampden,5094,237494,1,53,2,0,0,1,197,1431,237494,2,,
1082,Ware,MA,Hampshire,30966,,,,,,,,,,,,,
1083,Warren,MA,Worcester,8664,342400,4,22,6,0,2,2,219,1425,386583,5,,
1084,West Chesterfield,MA,Hampshire,528,,,,,,,,,,,,,
1085,Westfield,MA,Hampden,123351,329250,24,38,22,0,10,8,226,1469,385144,32,,
1086,Westfield,MA,Hampden,2061,,,,,,,,,,,,,
